"","V.device.id","V.device.location","V.message","V.message1","V.route","V.bound","V.mile.post","V.source.type","V.start.time","V.end.time","V.duration","V.frames","V.lines.per.frame","V.intent","V.slow","V.caution","V.speed","V.canyon","V.select.location","V.select.message"
"154",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","STANDING WATER POSSIBLE SLOW DOWN   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""30"" VALIGN=""middle"">STANDING WATER<BR/><VTAB PIXELS=""3""/>POSSIBLE<BR/><VTAB PIXELS=""3""/>SLOW DOWN</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","sdresher",2021-10-09 08:16:00,2021-10-09 12:11:00,14100,1,3,"weather",TRUE,FALSE,FALSE,"Sardine","true","true"
"155",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING CONDITIONS USE CAUTION WINTER DRIVING CONDITIONS REDUCE SPEED","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","lbradshaw",2021-12-09 06:15:00,2021-12-09 09:26:00,11460,2,3,"weather",FALSE,TRUE,TRUE,"Sardine","true","true"
"156",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","SLICK ROADS THRU CANYON REDUCE SPEED   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">SLICK ROADS<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","dfell",2021-12-09 09:26:00,2021-12-09 12:25:00,10740,1,3,"weather",FALSE,FALSE,TRUE,"Sardine","true","true"
"157",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING THRU CANYON REDUCE SPEED   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","dfell",2021-12-09 12:25:00,2021-12-09 23:25:00,39600,1,3,"weather",FALSE,FALSE,TRUE,"Sardine","true","true"
"158",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING THROUGH CANYON USE CAUTION WINTER DRIVING THROUGH CANYON REDUCE SPEED","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THROUGH CANYON<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THROUGH CANYON<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","lbradshaw",2021-12-09 23:25:00,2021-12-10 08:32:00,32820,2,3,"weather",FALSE,TRUE,TRUE,"Sardine","true","true"
"159",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING CONDITIONS USE CAUTION   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","sfugate",2021-12-10 09:48:00,2021-12-11 07:46:00,79080,1,3,"weather",FALSE,TRUE,FALSE,"Sardine","true","true"
"160",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","BLOWING SNOW AT DRY LAKE USE CAUTION BLOWING SNOW MP 11 - 12 USE CAUTION","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">BLOWING SNOW<BR/><VTAB PIXELS=""3""/>AT DRY LAKE<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">BLOWING SNOW<BR/><VTAB PIXELS=""3""/>MP 11 - 12<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","sfugate",2021-12-11 07:46:00,2021-12-11 14:44:00,25080,2,3,"weather",FALSE,TRUE,FALSE,"Sardine","true","true"
"161",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING CONDITIONS IN CANYON USE CAUTION ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""30"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>IN CANYON</PHASE><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""20"" VALIGN=""middle"">USE<BR/><VTAB PIXELS=""3""/>CAUTION</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","atclark",2021-12-14 18:15:00,2021-12-14 19:34:00,4740,2,2.5,"weather",FALSE,TRUE,FALSE,"Sardine","true","true"
"162",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING THRU CANYON REDUCE SPEED   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","calebbanks",2021-12-15 11:17:00,2021-12-15 15:24:00,14820,1,3,"weather",FALSE,FALSE,TRUE,"Sardine","true","true"
"163",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","ICY ROADS IN CANYON USE CAUTION   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">ICY ROADS<BR/><VTAB PIXELS=""3""/>IN CANYON<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","atclark",2021-12-15 15:24:00,2021-12-16 04:27:00,46980,1,3,"weather",FALSE,TRUE,FALSE,"Sardine","true","true"
